OrderNumber,Sales Channel,WarehouseCode,ProcuredDate,OrderDate,ShipDate,DeliveryDate,CurrencyCode,Order Quantity,Discount Applied,Unit Price,Unit Cost,Customer Names,Product Name,Sales Team,City Name,Population,Household Income,Median Income,State,Unit Profit
SO - 000101,In-Store,WARE-UHY1004,2017-12-31,2018-05-31,2018-06-14,2018-06-19,USD,5,0.075,1963.1000000000001,1001.181,Rochester Ltd,Dining Furniture,Joshua Bennett,Babylon (Town),213776,68789,80327,New York,961.9190000000001
SO - 000102,Online,WARE-NMK1003,2017-12-31,2018-05-31,2018-06-22,2018-07-02,USD,3,0.075,3939.6,3348.66,Pacific Ltd,Wreaths,Paul Holmes,Overland Park,186515,74830,72463,Kansas,590.94
SO - 000103,Distributor,WARE-UHY1004,2017-12-31,2018-05-31,2018-06-21,2018-07-01,USD,1,0.05,1775.5,781.22,"3LAB, Ltd",Stemware,Samuel Fowler,Ann Arbor,117070,47179,55990,Michigan,994.28
SO - 000104,Wholesale,WARE-NMK1003,2017-12-31,2018-05-31,2018-06-02,2018-06-07,USD,8,0.075,2324.9,1464.6870000000001,"Fenwal, Corp",Accessories,Carlos Miller,New Haven,130322,49771,37192,Connecticut,860.213
SO - 000105,Distributor,WARE-NMK1003,2018-04-10,2018-05-31,2018-06-16,2018-06-26,USD,8,0.1,1822.4,1476.1440000000002,Bare ,Candles,Joe Price,Waterbury,108802,40213,40467,Connecticut,346.25599999999986
SO - 000106,Online,WARE-PUJ1005,2017-12-31,2018-05-31,2018-06-08,2018-06-13,USD,5,0.05,1038.5,446.555,Ohio ,Cookware,Carl Nguyen,Norman,120284,44911,51491,Oklahoma,591.9449999999999
SO - 000107,In-Store,WARE-XYS1001,2017-12-31,2018-05-31,2018-06-08,2018-06-14,USD,4,0.15,1192.6000000000001,536.6700000000001,Linde ,Bathroom Furniture,Jonathan Hawkins,Chandler,260828,88973,72695,Arizona,655.9300000000001
SO - 000108,In-Store,WARE-PUJ1005,2018-04-10,2018-05-31,2018-06-26,2018-07-01,USD,5,0.05,1815.7,1525.1879999999999,Ei ,Sculptures,Joshua Bennett,Cleveland,388072,167100,26150,Ohio,290.51200000000017
SO - 000109,In-Store,WARE-PUJ1005,2017-12-31,2018-06-01,2018-06-16,2018-06-21,USD,4,0.3,3879.3,2211.201,Ei ,Audio,Chris Armstrong,North Charleston,108304,37597,39543,South Carolina,1668.0990000000002
SO - 000110,In-Store,WARE-UHY1004,2017-12-31,2018-06-01,2018-06-29,2018-07-01,USD,8,0.05,1956.4,1212.968,Trigen ,Bakeware,Jonathan Hawkins,Brooklyn,2636735,880727,32135,New York,743.432
SO - 000111,Distributor,WARE-XYS1001,2017-12-31,2018-06-01,2018-06-15,2018-06-20,USD,6,0.1,201.0,124.62,Ohio ,Wardrobes,Douglas Tucker,Antioch,110542,33718,64329,California,76.38
SO - 000112,In-Store,WARE-NMK1003,2018-04-10,2018-06-01,2018-06-07,2018-06-17,USD,5,0.15,6277.900000000001,2762.2760000000003,Ohio ,Rugs,Jonathan Hawkins,Aurora (Township),148308,44798,49797,Illinois,3515.6240000000003
SO - 000113,In-Store,WARE-PUJ1005,2018-04-10,2018-06-01,2018-06-22,2018-07-02,USD,5,0.05,1051.9,641.659,O.E. Ltd,Floor Lamps,Chris Armstrong,Denton,131044,43745,49100,Texas,410.2410000000001
SO - 000114,In-Store,WARE-PUJ1005,2018-04-10,2018-06-01,2018-06-07,2018-06-15,USD,6,0.15,254.6,216.41,Pure Group,Vases,George Lewis,Portland,632309,254167,55003,Oregon,38.19
SO - 000115,In-Store,WARE-NMK1003,2017-12-31,2018-06-01,2018-06-15,2018-06-20,USD,6,0.15,3932.9,3146.32,OHTA'S Corp,Computers,Joshua Ryan,West Palm Beach,106779,41474,45800,Florida,786.5799999999999
SO - 000116,In-Store,WARE-MKL1006,2017-12-31,2018-06-01,2018-06-24,2018-07-02,USD,3,0.05,1112.2,700.686,Apollo Ltd,TV and video,Stephen Payne,Norfolk,246393,87045,44480,Virginia,411.514
SO - 000117,In-Store,WARE-PUJ1005,2018-04-10,2018-06-01,2018-06-19,2018-06-27,USD,3,0.075,1239.5,904.8349999999999,21st Ltd,Computers,Joshua Ryan,Frisco,154407,45452,114098,Texas,334.6650000000001
SO - 000118,In-Store,WARE-XYS1001,2018-04-10,2018-06-01,2018-06-06,2018-06-14,USD,4,0.1,984.9,393.96000000000004,S.S.S. Group,Table Lamps,George Lewis,Carlsbad,113453,42791,90597,California,590.9399999999999
SO - 000119,In-Store,WARE-MKL1006,2018-04-10,2018-06-01,2018-06-07,2018-06-15,USD,4,0.1,5581.1,4130.014,Procter Corp,Bar Tools,Stephen Payne,Alexandria,153511,66879,89134,Virginia,1451.0860000000002
